done,dt_selection,name,n_reviews,sort_by,hl,n_reviews_max,google_id,url
0,2024,Hotel Aguadero,-1,most_relevant,pt-br,642,0x94e2c09c5017dc3f:0x78abcc7cd7cd673b,"https://www.google.com/maps/place/Hotel+Aguadero/@-28.260335599999998,-52.4177057,14z/data=!4m8!1m2!2m1!1sHotel+Aguadero!3m4!1s0x94e2c09c5017dc3f:0x78abcc7cd7cd673b!8m2!3d-28.260335599999998!4d-52.4177057"
0,2024,Hotel Amoreiras,-1,most_relevant,pt-br,644,0x94ceadb78764b07f:0xd25db351f23c9170,"https://www.google.com/maps/place/Hotel+Amoreiras/@-22.8529154,-46.3338129,14z/data=!4m8!1m2!2m1!1sHotel+Amoreiras!3m4!1s0x94ceadb78764b07f:0xd25db351f23c9170!8m2!3d-22.8529154!4d-46.3338129"
0,2024,Hotel Pousada Gurupiá,-1,most_relevant,pt-br,649,0x94c92270a66fc797:0x691829f8cebd0a59,"https://www.google.com/maps/place/Hotel+Pousada+Gurupi%C3%A1/@-22.6248564,-46.7188434,14z/data=!4m8!1m2!2m1!1sHotel+Pousada+Gurupi%C3%A1!3m4!1s0x94c92270a66fc797:0x691829f8cebd0a59!8m2!3d-22.6248564!4d-46.7188434"
0,2024,W4 Hotel,-1,most_relevant,pt-br,653,0x76ed366d0b4dcf1:0xf2bc5d7c4183e818,"https://www.google.com/maps/place/W4+Hotel/@-11.2876181,-41.8454031,14z/data=!4m8!1m2!2m1!1sW4+Hotel!3m4!1s0x76ed366d0b4dcf1:0xf2bc5d7c4183e818!8m2!3d-11.2876181!4d-41.8454031"
0,2024,FC Hotel,-1,most_relevant,pt-br,655,0x78bf11e0f65ec67:0x4c23a8d6954a1ea,"https://www.google.com/maps/place/FC+Hotel/@-4.4723315999999995,-43.8906172,14z/data=!4m8!1m2!2m1!1sFC+Hotel!3m4!1s0x78bf11e0f65ec67:0x4c23a8d6954a1ea!8m2!3d-4.4723315999999995!4d-43.8906172"
0,2024,Hotel Riacho Verde,-1,most_relevant,pt-br,660,0x94c924a23f13621f:0xe5e4bf7ede59eddf,"https://www.google.com/maps/place/Hotel+Riacho+Verde/@-22.695404,-46.6886138,14z/data=!4m8!1m2!2m1!1sHotel+Riacho+Verde!3m4!1s0x94c924a23f13621f:0xe5e4bf7ede59eddf!8m2!3d-22.695404!4d-46.6886138"
0,2024,Villas Hotel,-1,most_relevant,pt-br,662,0x94fe9197fb1a3cad:0x2a564644f4fa47e4,"https://www.google.com/maps/place/Villas+Hotel/@-28.3248142,-54.272824099999994,14z/data=!4m8!1m2!2m1!1sVillas+Hotel!3m4!1s0x94fe9197fb1a3cad:0x2a564644f4fa47e4!8m2!3d-28.3248142!4d-54.272824099999994"
0,2024,Hotel Anajá,-1,most_relevant,pt-br,665,0x94bdad44cad98e7b:0xf2fcec8bb6a6fbc6,"https://www.google.com/maps/place/Hotel+Anaj%C3%A1/@-20.8085874,-49.379017,14z/data=!4m8!1m2!2m1!1sHotel+Anaj%C3%A1!3m4!1s0x94bdad44cad98e7b:0xf2fcec8bb6a6fbc6!8m2!3d-20.8085874!4d-49.379017"
0,2024,Hotel Village Confort,-1,most_relevant,pt-br,668,0x7070cee88f7d865:0xb05be444a52cee0b,"https://www.google.com/maps/place/Hotel+Village+Confort/@-8.8909483,-36.4928291,14z/data=!4m8!1m2!2m1!1sHotel+Village+Confort!3m4!1s0x7070cee88f7d865:0xb05be444a52cee0b!8m2!3d-8.8909483!4d-36.4928291"
0,2024,Hotel Nord Easy Patos,-1,most_relevant,pt-br,669,0x7af604824ee01f5:0xf2bd7f16ef469231,"https://www.google.com/maps/place/Hotel+Nord+Easy+Patos/@-7.023831899999999,-37.2753185,14z/data=!4m8!1m2!2m1!1sHotel+Nord+Easy+Patos!3m4!1s0x7af604824ee01f5:0xf2bd7f16ef469231!8m2!3d-7.023831899999999!4d-37.2753185"
