done,name,n_reviews,sort_by,hl,url,google_id,n_reviews_max,dt_selection
0,Pousada Piracuruca,-1,most_relevant,pt-br,0x7933a511bdf2517:0xdc620b59f093a40b,0x7933a511bdf2517:0xdc620b59f093a40b,300,2024
0,Sr. Dico - Pousada Remanso,-1,most_relevant,pt-br,0xbb514795a2bf2d:0xa2cc92febf90a296,0xbb514795a2bf2d:0xa2cc92febf90a296,300,2024
0,Hotel Ambrósio,-1,most_relevant,pt-br,0x7087bacc93dfedf:0xc5a72237846f7ed8,0x7087bacc93dfedf:0xc5a72237846f7ed8,300,2024
0,Grande Hotel Cuitelo,-1,most_relevant,pt-br,0x94c6123e101c762d:0xef2e1d1fce48da32,0x94c6123e101c762d:0xef2e1d1fce48da32,300,2024
0,Motel Country,-1,most_relevant,pt-br,0x7c752d991e53ee7:0xf3c6ea41ca2f1803,0x7c752d991e53ee7:0xf3c6ea41ca2f1803,303,2024
0,Hotel Favorito,-1,most_relevant,pt-br,0x7813529514b0d19:0x3b57dc470d07d4d6,0x7813529514b0d19:0x3b57dc470d07d4d6,303,2024
0,Piemonte Flat Apart,-1,most_relevant,pt-br,0x94c9189da9a4b9c1:0x8c2b9c6630838bcd,0x94c9189da9a4b9c1:0x8c2b9c6630838bcd,305,2024
0,Gaúcho Hotel,-1,most_relevant,pt-br,0x94e25f15d77885cf:0x4b0248f50fe3fae1,0x94e25f15d77885cf:0x4b0248f50fe3fae1,305,2024
0,Hotel Pousada Vento Leste,-1,most_relevant,pt-br,0x7ab42f94d12887b:0xe7ef4afd96f9d030,0x7ab42f94d12887b:0xe7ef4afd96f9d030,308,2024
0,Torres Palace Hotel,-1,most_relevant,pt-br,0x94bd9fc5ddece767:0x62f2bc617930c190,0x94bd9fc5ddece767:0x62f2bc617930c190,308,2024
0,Pousada Casa da Praia,-1,most_relevant,pt-br,0x9c14eca40daa3d:0xf965ad5b2f9ad00b,0x9c14eca40daa3d:0xf965ad5b2f9ad00b,309,2024
0,Pousada Recanto das Algarobas,-1,most_relevant,pt-br,0x769c02fe5b4fded:0x3b517467e119fa75,0x769c02fe5b4fded:0x3b517467e119fa75,311,2024
0,Star Hotel Limoeiro,-1,most_relevant,pt-br,0x7abbc791610bd87:0x8512bda157e8b879,0x7abbc791610bd87:0x8512bda157e8b879,312,2024
0,Tapurah Palace Hotel,-1,most_relevant,pt-br,0x93a1365635e2f0b7:0x5542dd55dfd9502d,0x93a1365635e2f0b7:0x5542dd55dfd9502d,312,2024
0,Pousada Recanto Varanda do Sol,-1,most_relevant,pt-br,0x94cea5f95c39df97:0xc3fec6ad620bea08,0x94cea5f95c39df97:0xc3fec6ad620bea08,313,2024
0,Pousada O Braseiro,-1,most_relevant,pt-br,0x7ab6b28e64ae475:0xddf2314c30f9deb8,0x7ab6b28e64ae475:0xddf2314c30f9deb8,314,2024
0,Hotel Ouro da Serra,-1,most_relevant,pt-br,0x94ae3192aa6b1e55:0xa0c0aaa45270b0f5,0x94ae3192aa6b1e55:0xa0c0aaa45270b0f5,315,2024
0,Minas D'or Hotel,-1,most_relevant,pt-br,0xbb072a197d47b1:0xf3c246dcb443db69,0xbb072a197d47b1:0xf3c246dcb443db69,316,2024
0,Alpes Fazenda Hotel,-1,most_relevant,pt-br,0x94c93fa91d294733:0x15d70f15c5ab5de,0x94c93fa91d294733:0x15d70f15c5ab5de,318,2024
0,Brito Hotel Resplendor,-1,most_relevant,pt-br,0xb72c9bdfcb4f7f:0x9fc48796f286b08e,0xb72c9bdfcb4f7f:0x9fc48796f286b08e,322,2024
0,Chalé Alto da Serra,-1,most_relevant,pt-br,0x94c922956fb582e7:0xde0cd80a0c8d8209,0x94c922956fb582e7:0xde0cd80a0c8d8209,322,2024
0,Hotel das Oliveiras,-1,most_relevant,pt-br,0x7abbc78b7702c0d:0x9a957cf38e3244ac,0x7abbc78b7702c0d:0x9a957cf38e3244ac,323,2024
0,Hotel Mael,-1,most_relevant,pt-br,0x7070cdfab24270b:0xfeb3bb8ff38ec518,0x7070cdfab24270b:0xfeb3bb8ff38ec518,323,2024
0,Pousada Recanto do Sossego,-1,most_relevant,pt-br,0x7ab42c430784617:0x3c6949bcb21bdafa,0x7ab42c430784617:0x3c6949bcb21bdafa,324,2024
0,Hotel Itacuruçá Plaza,-1,most_relevant,pt-br,0x9c0e601a842333:0xa8827811f08d530e,0x9c0e601a842333:0xa8827811f08d530e,325,2024
0,Gávea Pousada,-1,most_relevant,pt-br,0x94bfe8fa7f6cd6a1:0xeb504f57762a5911,0x94bfe8fa7f6cd6a1:0xeb504f57762a5911,327,2024
0,"Torre do Sol Park Hotel , Pscinas com Toboágua adulto e infantil , Chalés para Locação",-1,most_relevant,pt-br,0x78ccde25aea1cb1:0x5114d9d70fd595be,0x78ccde25aea1cb1:0x5114d9d70fd595be,327,2024
0,Pousada Fazendinha Alto da Serra,-1,most_relevant,pt-br,0x94c9232f31477f07:0xa244ab072bb88121,0x94c9232f31477f07:0xa244ab072bb88121,328,2024
0,Hotel Gaivota,-1,most_relevant,pt-br,0x9c0e61c7de3737:0x2d4fd4ea4516cb62,0x9c0e61c7de3737:0x2d4fd4ea4516cb62,328,2024
0,Pousada do Forte,-1,most_relevant,pt-br,0x7b29b4b89140e77:0xa889a2fe1dc96245,0x7b29b4b89140e77:0xa889a2fe1dc96245,328,2024
0,Planaltur Hotel,-1,most_relevant,pt-br,0x94e2bf6734f9ccef:0xf94b34c72b8b5c9e,0x94e2bf6734f9ccef:0xf94b34c72b8b5c9e,332,2024
0,Italia Hotel,-1,most_relevant,pt-br,0x9497f623206af5ad:0x2172c0bc80cb9859,0x9497f623206af5ad:0x2172c0bc80cb9859,332,2024
0,Hotel Zanata,-1,most_relevant,pt-br,0x94c60cddd5c587dd:0x4c5632da5b835bda,0x94c60cddd5c587dd:0x4c5632da5b835bda,333,2024
0,"OYO Residencial Muriqui Apart Hotel, Mangaratiba",-1,most_relevant,pt-br,0x9c0f6e80c187a3:0xdd0daa759869e9d3,0x9c0f6e80c187a3:0xdd0daa759869e9d3,334,2024
0,Hotel Varandas Miracema RJ,-1,most_relevant,pt-br,0xbce3e3107af2ef:0xc3b625b298bb6180,0xbce3e3107af2ef:0xc3b625b298bb6180,335,2024
0,Rainha Hotel,-1,most_relevant,pt-br,0x7ab63db0e09c571:0x71e02e0d07e2b574,0x7ab63db0e09c571:0x71e02e0d07e2b574,338,2024
0,Pousada Toca do Tuca,-1,most_relevant,pt-br,0x94ceb10d0e6fb4e7:0x3f7f1734475a7191,0x94ceb10d0e6fb4e7:0x3f7f1734475a7191,338,2024
0,Pousada Segredos da Serra,-1,most_relevant,pt-br,0x94c918ba20aae817:0x2135874110d2dbdf,0x94c918ba20aae817:0x2135874110d2dbdf,342,2024
0,Pousada Casa Amarela - Piracaia,-1,most_relevant,pt-br,0x94cebc531a8ee963:0xe59763144f965a9c,0x94cebc531a8ee963:0xe59763144f965a9c,342,2024
0,Via Gênova Hotel,-1,most_relevant,pt-br,0x951d98d37d1cb3cb:0xc68a06bf340a5999,0x951d98d37d1cb3cb:0xc68a06bf340a5999,342,2024
0,50 Hotel,-1,most_relevant,pt-br,0x94ceac34ffffffff:0x2293176789d87679,0x94ceac34ffffffff:0x2293176789d87679,344,2024
0,Regional Plaza Hotel,-1,most_relevant,pt-br,0x949829c678e1c9f9:0xdcbd0c5fd4201498,0x949829c678e1c9f9:0xdcbd0c5fd4201498,347,2024
0,Hotel Veloso,-1,most_relevant,pt-br,0x76cb4ebce3d750f:0x125bfabeac997c9f,0x76cb4ebce3d750f:0x125bfabeac997c9f,349,2024
0,Drops Motel Rio Preto,-1,most_relevant,pt-br,0x94bc51def23bb705:0xee30952bd3fa6fbb,0x94bc51def23bb705:0xee30952bd3fa6fbb,349,2024
